"","药名","使用次数","总质量/g","单位处方中的平均质量/g"
"22","半枝莲",45,1335,29.6666666666667
"111","麦芽(炒麦芽)",23,1335,58.0434782608696
"112","黄芪",44,1285,29.2045454545455
"27","夏枯草",46,1260,27.3913043478261
"70","生麦芽",21,1260,60
"71","白花蛇舌草",38,1095,28.8157894736842
"30","天葵子",45,690,15.3333333333333
"9","全瓜蒌",33,525,15.9090909090909
"50","淫羊藿(仙灵脾)",25,375,15
"92","菟丝子",24,360,15
"107","首乌藤(夜交藤)",12,360,30
"39","昆布",23,345,15
"90","茺蔚子",23,345,15
"49","海藻",21,315,15
"65","生丹参",21,315,15
"38","当归",20,246,12.3
"42","枸杞子",20,246,12.3
"68","生白芍",15,210,14
"84","管花肉苁蓉",12,180,15
"59","熟地黄",13,171,13.1538461538462
"19","制香附",16,162,10.125
"67","生白术",11,156,14.1818181818182
"56","炒酸枣仁",10,150,15
"98","蜜麸炒枳壳(枳壳)",15,138,9.2
"94","薏苡仁(米仁)",4,120,30
"113","龙骨(先煎)",4,120,30
"14","制南星",3,110,36.6666666666667
"61","牡蛎",4,105,26.25
"5","三棱",3,90,30
"20","制黄精",6,90,15
"91","莪术",3,90,30
"93","葛根",5,85,17
"32","太子参",8,78,9.75
"72","白茯苓",5,78,15.6
"24","合欢皮",5,75,15
"51","火麻仁",5,75,15
"54","炒稻芽",2,75,37.5
"82","石见穿",4,75,18.75
"31","天麻",4,63,15.75
"15","制厚朴",4,60,15
"37","干骨碎补",4,60,15
"76","盐益智仁",4,60,15
"13","制半夏(姜半夏)",5,57,11.4
"55","炒车前子",5,57,11.4
"25","地黄",4,51,12.75
"52","灵芝",3,45,15
"57","煅瓦楞子",3,45,15
"62","狗脊",3,45,15
"79","石决明",3,45,15
"106","陈皮",5,45,9
"96","蜜炙甘草",5,36,7.2
"44","桂枝",5,33,6.6
"103","酒制大黄",2,33,16.5
"7","仙鹤草",1,30,30
"12","制何首乌",2,30,15
"26","地龙",2,30,15
"35","川芎",3,30,10
"36","巴戟天",2,30,15
"41","朱砂拌白茯苓",2,30,15
"48","海浮石",2,30,15
"58","煅青礞石",1,30,30
"63","猪苓",2,30,15
"80","石膏",1,30,30
"97","蜜麸山药",2,30,15
"105","钩藤",2,30,15
"33","姜汁炒竹茹",3,27,9
"16","制山茱萸(山萸肉)",2,24,12
"28","大枣",2,24,12
"81","石菖蒲",2,24,12
"89","茯神",2,24,12
"29","天花粉",1,20,20
"69","生鸡内金",2,20,10
"8","光桃仁(_桃仁)",2,18,9
"47","泽泻",2,18,9
"60","牡丹皮",2,18,9
"85","红花",2,18,9
"99","蜜麸炒枳实(枳实)",2,18,9
"6","五味子(制)",1,15,15
"17","制胆星",1,15,15
"21","北沙参",1,15,15
"23","南沙参",1,15,15
"34","川牛膝",1,15,15
"46","沙苑子(潼疾藜)",1,15,15
"53","炒桑螵蛸",1,15,15
"64","玉米须",1,15,15
"66","生山楂",1,15,15
"73","皂角刺",1,15,15
"74","益母草",1,15,15
"75","盐杜仲",1,15,15
"77","盐补骨脂",1,15,15
"83","童子益母草",1,15,15
"86","续断",1,15,15
"95","蜜炙款冬花",1,15,15
"100","蜜麸炒白芍",1,15,15
"109","鹿衔草(鹿含草)",1,15,15
"45","桔梗",1,12,12
"102","赤芍",1,12,12
"1","_苦杏仁",1,9,9
"11","关黄柏",1,9,9
"18","制远志",1,9,9
"40","木香",1,9,9
"78","知母",1,9,9
"88","苏败酱(败酱草)",1,9,9
"101","蜜麸炒苍术",1,9,9
"104","醋鳖甲",1,9,9
"110","麦冬",1,9,9
"87","芦荟",3,7,2.33333333333333
"43","柴胡",1,6,6
"108","高良姜",1,5,5
"10","全蝎",1,3,3
"2","(二十五)脑病1方",2,NA,NA
"3","(二十五)脑病1方:贴:贴",42,NA,NA
"4","(二十六)脑病2方:贴:贴",1,NA,NA
