"","药名","使用次数","总质量/g","单位处方中的平均质量/g"
"21","槲寄生(桑寄生)",21,263,12.5238095238095
"41","苎麻根",16,257,16.0625
"40","续断",20,239,11.95
"4","党参",14,216,15.4285714285714
"35","盐杜仲",17,212,12.4705882352941
"19","当归",14,198,14.1428571428571
"18","干荷蒂",13,180,13.8461538461538
"43","菟丝子",10,134,13.4
"16","山药(生山药)",10,126,12.6
"8","南瓜蒂",10,123,12.3
"30","生丹参",9,117,13
"61","黄芩",9,84,9.33333333333333
"50","蜜麸炒白术",8,76,9.5
"22","火麻仁",5,72,14.4
"32","生白术",8,72,9
"51","蜜麸炒白芍",5,63,12.6
"3","仙鹤草",4,60,15
"39","紫苏梗",8,60,7.5
"6","制半夏(姜半夏)",6,57,9.5
"63","黄芪",4,57,14.25
"11","地黄",3,39,13
"17","川佛手",5,30,6
"45","藕节",2,30,15
"54","钩藤",2,30,15
"13","太子参",2,27,13.5
"55","防风",3,27,9
"33","生白芍",2,21,10.5
"53","赤芍",2,21,10.5
"20","当归炭",1,20,20
"38","管花肉苁蓉",1,20,20
"48","蜜炙黄芪",1,20,20
"58","首乌藤(夜交藤)",1,20,20
"15","姜汁炒竹茹",2,18,9
"56","防风炭",2,18,9
"7","制黄精",1,15,15
"9","合欢皮",1,15,15
"46","藕节炭",1,15,15
"49","蜜麸炒枳壳(枳壳)",1,15,15
"5","制乌梅",2,12,6
"14","女贞子(制)",1,12,12
"23","炒桑螵蛸",1,12,12
"24","炒瓜蒌子",1,12,12
"27","熟地黄",1,12,12
"31","生侧柏叶",1,12,12
"34","白茯苓",1,12,12
"36","石斛(川石斛)",1,12,12
"44","葛根",1,12,12
"12","大枣",1,10,10
"62","黄芩炭",1,10,10
"65","墨旱莲(旱莲草)",1,10,10
"2","仙茅",1,9,9
"26","炒酸枣仁",1,9,9
"42","荆芥",1,9,9
"1","乌药",1,6,6
"10","吴茱萸(制)",1,6,6
"28","牡丹皮",1,6,6
"29","甘草",1,6,6
"37","砂仁(阳春砂)",2,6,3
"47","蜜炙甘草",1,6,6
"52","豆蔻(白豆蔻)",2,6,3
"57","陈皮",1,6,6
"59","香橼(蜜麸炒)",1,6,6
"64","黄连",2,6,3
"25","炒稻芽",1,5,5
"60","麦芽(炒麦芽)",1,5,5
